Order_ID,Order_Date,Customer,State,Category,Product,Quantity,Unit_Price,Discount_Percent,Sales,Profit,Payment_Method
ORD10952,2025-01-01,Customer_107,Kerala,Home & Kitchen,Bottle,2,794,0,1588.0,160.11,Debit Card
ORD10627,2025-01-01,Customer_116,Karnataka,Electronics,Headphones,2,3130,10,5634.0,791.15,Net Banking
ORD10013,2025-01-01,Customer_137,Tamil Nadu,Clothing,Jacket,2,4011,0,8022.0,1778.63,Net Banking
ORD10946,2025-01-02,Customer_153,Tamil Nadu,Clothing,Backpack,1,2070,5,1966.5,177.45,Debit Card
ORD10900,2025-01-02,Customer_196,Telangana,Clothing,Jacket,4,4300,10,15480.0,1738.08,UPI
ORD10219,2025-01-02,Customer_072,Kerala,Home & Kitchen,Bottle,1,642,0,642.0,62.58,Debit Card
ORD10783,2025-01-03,Customer_054,Karnataka,Home & Kitchen,Mixer,2,5673,10,10211.4,1703.23,Credit Card
ORD10388,2025-01-04,Customer_001,Karnataka,Clothing,T-Shirt,2,1564,5,2971.6,248.3,UPI
ORD10610,2025-01-04,Customer_067,Tamil Nadu,Home & Kitchen,Cookware Set,5,4836,5,22971.0,4540.19,Credit Card
ORD10666,2025-01-04,Customer_115,Delhi,Electronics,Keyboard,2,2387,20,3819.2,364.89,Net Banking
ORD10306,2025-01-05,Customer_166,Delhi,Electronics,Laptop,2,58654,10,105577.2,21227.7,Net Banking
ORD10895,2025-01-06,Customer_077,Maharashtra,Home & Kitchen,Cookware Set,4,3969,15,13494.6,1333.3,Credit Card
ORD10466,2025-01-07,Customer_184,Telangana,Clothing,Jeans,3,1564,10,4222.8,427.09,Debit Card
ORD10941,2025-01-07,Customer_023,Tamil Nadu,Home & Kitchen,Dinner Set,2,1618,5,3074.2,719.06,Net Banking
ORD10226,2025-01-08,Customer_150,Kerala,Furniture,Bookshelf,1,9748,0,9748.0,1764.59,Credit Card
ORD10018,2025-01-10,Customer_009,Karnataka,Home & Kitchen,Cookware Set,3,5025,5,14321.25,1403.46,UPI
ORD10816,2025-01-10,Customer_087,Andhra Pradesh,Electronics,Monitor,5,24493,0,122465.0,19392.67,Cash
ORD10341,2025-01-11,Customer_046,Delhi,Clothing,Shoes,2,6158,5,11700.2,2086.66,UPI
ORD10211,2025-01-12,Customer_134,Maharashtra,Clothing,Backpack,5,2728,0,13640.0,1184.27,Net Banking
ORD10038,2025-01-13,Customer_014,Tamil Nadu,Electronics,Laptop,4,70188,0,280752.0,64755.7,Net Banking
ORD10707,2025-01-13,Customer_098,Kerala,Home & Kitchen,Mixer,3,4724,5,13463.4,3105.32,UPI
ORD10566,2025-01-14,Customer_191,Telangana,Furniture,Desk,5,24108,0,120540.0,23381.61,Cash
ORD10874,2025-01-14,Customer_139,Kerala,Electronics,Mobile,4,25379,0,101516.0,14075.48,Net Banking
ORD10075,2025-01-14,Customer_185,Maharashtra,Electronics,Laptop,2,57763,10,103973.4,15391.82,Net Banking
ORD10195,2025-01-14,Customer_107,Karnataka,Clothing,Jeans,1,2285,20,1828.0,236.19,Debit Card
ORD10322,2025-01-16,Customer_087,Maharashtra,Electronics,Laptop,4,58395,10,210222.0,28072.23,Credit Card
ORD10756,2025-01-16,Customer_116,Maharashtra,Furniture,Sofa,2,45154,0,90308.0,21183.81,Debit Card
ORD10923,2025-01-16,Customer_089,Delhi,Electronics,Monitor,5,21867,0,109335.0,15170.07,Debit Card
ORD10549,2025-01-17,Customer_116,Kerala,Furniture,Table,4,13094,20,41900.8,9350.92,Net Banking
ORD10639,2025-01-17,Customer_101,Andhra Pradesh,Furniture,Office Chair,5,17737,5,84250.75,17371.34,Credit Card
ORD10160,2025-01-18,Customer_072,Kerala,Home & Kitchen,Cookware Set,3,2949,15,7519.95,1063.19,Cash
ORD10259,2025-01-18,Customer_192,Delhi,Home & Kitchen,Cookware Set,2,2955,5,5614.5,1082.76,Net Banking
ORD10169,2025-01-19,Customer_170,Andhra Pradesh,Clothing,Shoes,2,6382,0,12764.0,1584.92,Credit Card
ORD10210,2025-01-19,Customer_113,Tamil Nadu,Electronics,Laptop,3,47044,10,127018.8,27832.95,Net Banking
ORD10519,2025-01-19,Customer_198,Tamil Nadu,Home & Kitchen,Air Fryer,5,7732,10,34794.0,6725.98,Debit Card
ORD10463,2025-01-19,Customer_019,Maharashtra,Furniture,Sofa,1,17352,5,16484.4,3514.31,UPI
ORD10552,2025-01-19,Customer_146,Kerala,Home & Kitchen,Air Fryer,1,7119,0,7119.0,775.12,Cash
ORD10235,2025-01-20,Customer_151,Maharashtra,Home & Kitchen,Cookware Set,5,2978,15,12656.5,1514.56,Cash
ORD10975,2025-01-21,Customer_033,Telangana,Home & Kitchen,Mixer,3,5160,5,14706.0,1898.91,Cash
ORD10792,2025-01-21,Customer_183,Delhi,Home & Kitchen,Cookware Set,5,4161,0,20805.0,4323.49,Credit Card
ORD10514,2025-01-25,Customer_092,Maharashtra,Furniture,Sofa,5,41421,10,186394.5,16799.7,Credit Card
ORD10266,2025-01-25,Customer_067,Andhra Pradesh,Furniture,Bookshelf,4,7697,10,27709.2,2543.62,Credit Card
ORD10342,2025-01-26,Customer_158,Telangana,Home & Kitchen,Bottle,3,1441,15,3674.55,727.13,UPI
ORD10830,2025-01-26,Customer_139,Telangana,Home & Kitchen,Bottle,4,922,0,3688.0,324.63,UPI
ORD10592,2025-01-27,Customer_090,Tamil Nadu,Home & Kitchen,Bottle,1,1388,20,1110.4,276.19,Net Banking
ORD10404,2025-01-28,Customer_185,Andhra Pradesh,Electronics,Monitor,2,12267,5,23307.3,3361.67,Credit Card
ORD10950,2025-01-28,Customer_031,Andhra Pradesh,Electronics,Mobile,2,20199,5,38378.1,4142.1,Net Banking
ORD10785,2025-01-29,Customer_107,Delhi,Furniture,Sofa,5,23016,0,115080.0,15311.5,Debit Card
ORD10487,2025-01-30,Customer_088,Tamil Nadu,Clothing,Jeans,1,2827,0,2827.0,535.64,Net Banking
ORD10859,2025-01-31,Customer_085,Karnataka,Furniture,Office Chair,3,16594,15,42314.7,6422.22,UPI
ORD10010,2025-02-01,Customer_069,Delhi,Furniture,Bookshelf,1,11087,0,11087.0,1555.43,Credit Card
ORD10027,2025-02-01,Customer_120,Maharashtra,Furniture,Table,2,8135,5,15456.5,3410.34,UPI
ORD10957,2025-02-05,Customer_043,Telangana,Home & Kitchen,Bottle,2,1053,20,1684.8,189.24,Net Banking
ORD10453,2025-02-06,Customer_153,Delhi,Furniture,Desk,5,24800,15,105400.0,19105.39,Debit Card
ORD10600,2025-02-07,Customer_139,Tamil Nadu,Furniture,Desk,2,14068,15,23915.6,2648.69,Debit Card
ORD10782,2025-02-08,Customer_002,Telangana,Clothing,Jacket,5,5548,10,24966.0,4737.88,Net Banking
ORD10939,2025-02-08,Customer_140,Karnataka,Furniture,Office Chair,1,16617,0,16617.0,2393.97,Debit Card
ORD10257,2025-02-08,Customer_070,Tamil Nadu,Clothing,Jeans,3,4000,5,11400.0,1250.47,Cash
ORD10977,2025-02-08,Customer_042,Karnataka,Home & Kitchen,Air Fryer,5,11618,0,58090.0,8531.36,Credit Card
ORD10336,2025-02-09,Customer_123,Kerala,Home & Kitchen,Dinner Set,2,2866,0,5732.0,1123.31,Debit Card
ORD10714,2025-02-09,Customer_185,Kerala,Home & Kitchen,Dinner Set,1,1928,0,1928.0,390.28,UPI
ORD10051,2025-02-10,Customer_057,Maharashtra,Clothing,Jacket,4,3083,0,12332.0,2732.75,Net Banking
ORD10886,2025-02-11,Customer_056,Maharashtra,Electronics,Headphones,1,9350,5,8882.5,1803.9,Credit Card
ORD10372,2025-02-11,Customer_180,Kerala,Home & Kitchen,Dinner Set,5,3467,10,15601.5,3076.35,Cash
ORD10473,2025-02-11,Customer_161,Andhra Pradesh,Clothing,T-Shirt,3,1877,10,5067.9,850.23,Credit Card
ORD10546,2025-02-11,Customer_025,Delhi,Home & Kitchen,Mixer,3,6677,15,17026.35,3230.7,Net Banking
ORD10295,2025-02-11,Customer_095,Andhra Pradesh,Furniture,Office Chair,2,16196,20,25913.6,2665.94,Net Banking
ORD10012,2025-02-12,Customer_106,Telangana,Clothing,Jeans,1,1675,0,1675.0,248.81,Net Banking
ORD10804,2025-02-12,Customer_033,Karnataka,Electronics,Laptop,5,64611,10,290749.5,25910.99,Credit Card
ORD10444,2025-02-13,Customer_060,Kerala,Home & Kitchen,Dinner Set,1,3532,0,3532.0,606.97,UPI
ORD10649,2025-02-14,Customer_067,Andhra Pradesh,Home & Kitchen,Dinner Set,3,3368,0,10104.0,1856.29,Cash
ORD10457,2025-02-14,Customer_057,Telangana,Furniture,Table,5,9619,0,48095.0,8643.93,Cash
ORD10912,2025-02-15,Customer_007,Andhra Pradesh,Electronics,Laptop,2,53811,5,102240.9,16187.26,UPI
ORD10103,2025-02-15,Customer_058,Tamil Nadu,Furniture,Office Chair,4,13915,20,44528.0,5332.15,UPI
ORD10794,2025-02-15,Customer_101,Kerala,Home & Kitchen,Air Fryer,2,7851,0,15702.0,3780.69,Credit Card
ORD10587,2025-02-16,Customer_132,Kerala,Furniture,Desk,5,10208,5,48488.0,11482.63,Net Banking
ORD10837,2025-02-16,Customer_038,Telangana,Clothing,Jeans,1,3976,0,3976.0,519.69,Net Banking
ORD10942,2025-02-18,Customer_200,Maharashtra,Electronics,Monitor,5,23122,0,115610.0,18937.23,Net Banking
ORD10100,2025-02-18,Customer_077,Kerala,Electronics,Mobile,5,44602,5,211859.5,40781.3,UPI
ORD10742,2025-02-18,Customer_189,Telangana,Furniture,Desk,5,13935,0,69675.0,13530.22,UPI
ORD10821,2025-02-18,Customer_084,Andhra Pradesh,Clothing,T-Shirt,3,1018,0,3054.0,679.84,Debit Card
ORD10488,2025-02-18,Customer_085,Karnataka,Home & Kitchen,Mixer,5,3803,15,16162.75,2339.75,Credit Card
ORD10806,2025-02-20,Customer_032,Tamil Nadu,Home & Kitchen,Dinner Set,4,4758,15,16177.2,2601.79,Net Banking
ORD10427,2025-02-20,Customer_128,Karnataka,Electronics,Laptop,5,52069,5,247327.75,39859.53,Cash
ORD10248,2025-02-20,Customer_153,Tamil Nadu,Electronics,Headphones,4,4736,0,18944.0,2584.63,Net Banking
ORD10166,2025-02-20,Customer_083,Telangana,Electronics,Monitor,1,24432,0,24432.0,4850.19,Cash
ORD10670,2025-02-21,Customer_082,Maharashtra,Clothing,Backpack,1,3259,0,3259.0,549.58,Cash
ORD10743,2025-02-21,Customer_199,Tamil Nadu,Furniture,Bookshelf,4,9093,0,36372.0,7419.26,Net Banking
