Order_ID,Order_Date,Customer,State,Category,Product,Quantity,Unit_Price,Discount_Percent,Sales,Profit,Payment_Method,Year,Month,Month_Name,Year_Month,Profit_Margin,Discount_Amount
ORD10952,2025-01-01,Customer_107,Kerala,Home & Kitchen,Bottle,2,794,0,1588.0,160.11,Debit Card,2025,1,January,2025-01,10.082493702770781,0.0
ORD10627,2025-01-01,Customer_116,Karnataka,Electronics,Headphones,2,3130,10,5634.0,791.15,Net Banking,2025,1,January,2025-01,14.042421015264464,626.0
ORD10013,2025-01-01,Customer_137,Tamil Nadu,Clothing,Jacket,2,4011,0,8022.0,1778.63,Net Banking,2025,1,January,2025-01,22.17190226876091,0.0
ORD10946,2025-01-02,Customer_153,Tamil Nadu,Clothing,Backpack,1,2070,5,1966.5,177.45,Debit Card,2025,1,January,2025-01,9.023646071700991,103.5
ORD10900,2025-01-02,Customer_196,Telangana,Clothing,Jacket,4,4300,10,15480.0,1738.08,UPI,2025,1,January,2025-01,11.227906976744185,1720.0
ORD10219,2025-01-02,Customer_072,Kerala,Home & Kitchen,Bottle,1,642,0,642.0,62.58,Debit Card,2025,1,January,2025-01,9.74766355140187,0.0
ORD10783,2025-01-03,Customer_054,Karnataka,Home & Kitchen,Mixer,2,5673,10,10211.4,1703.23,Credit Card,2025,1,January,2025-01,16.679691325381437,1134.6
ORD10388,2025-01-04,Customer_001,Karnataka,Clothing,T-Shirt,2,1564,5,2971.6,248.3,UPI,2025,1,January,2025-01,8.355767936465204,156.4
ORD10610,2025-01-04,Customer_067,Tamil Nadu,Home & Kitchen,Cookware Set,5,4836,5,22971.0,4540.19,Credit Card,2025,1,January,2025-01,19.764877454181356,1209.0
ORD10666,2025-01-04,Customer_115,Delhi,Electronics,Keyboard,2,2387,20,3819.2,364.89,Net Banking,2025,1,January,2025-01,9.554095098449936,954.8
ORD10306,2025-01-05,Customer_166,Delhi,Electronics,Laptop,2,58654,10,105577.2,21227.7,Net Banking,2025,1,January,2025-01,20.106329775747035,11730.8
ORD10895,2025-01-06,Customer_077,Maharashtra,Home & Kitchen,Cookware Set,4,3969,15,13494.6,1333.3,Credit Card,2025,1,January,2025-01,9.880248395654558,2381.4
ORD10466,2025-01-07,Customer_184,Telangana,Clothing,Jeans,3,1564,10,4222.8,427.09,Debit Card,2025,1,January,2025-01,10.113905465567868,469.2
