Year_Month,Total_Sales,Total_Profit,Total_Orders
2025-01,2233604.2,373958.49,50
2025-02,2285311.75,369507.64,54
2025-03,1635694.95,245264.72,64
2025-04,2429587.3,445050.74,57
2025-05,1996330.65,302623.96,54
2025-06,2589277.15,401691.17,61
2025-07,1706898.1,275188.11,62
2025-08,1826772.15,325379.72,60
2025-09,1444720.45,236530.36,57
2025-10,1636643.2,214097.22,49
2025-11,1971916.7,295573.61,50
2025-12,1366689.6,199507.06,49
2026-01,2006204.05,366242.32,60
2026-02,1627685.75,275809.54000000004,47
2026-03,1328029.55,245161.38,54
2026-04,1435149.75,247598.08,49
2026-05,2011611.75,359344.68,52
2026-06,2976533.9,463421.43,66
